1,0.00,-0.03,0.00
1,0.25,-0.03,-0.00
1,0.99,-0.03,-0.00
1,2.24,-0.03,-0.00
1,3.98,-0.03,-0.00
1,6.22,-0.03,-0.01
1,8.95,-0.03,-0.02
1,12.17,-0.04,-0.03
1,15.89,-0.04,-0.04
1,20.13,-0.04,-0.06
1,24.83,-0.04,-0.08
1,30.01,-0.04,-0.10
1,35.77,-0.04,-0.12
1,41.97,-0.02,-0.15
1,48.60,-0.01,-0.18
1,55.86,0.02,-0.22
1,63.57,0.04,-0.25
1,71.81,0.07,-0.29
1,80.49,0.15,-0.34
1,89.61,0.19,-0.38
1,99.54,0.26,-0.43
1,109.51,0.34,-0.49
1,120.13,0.43,-0.55
1,131.43,0.50,-0.61
1,142.81,0.61,-0.70
1,155.24,0.75,-0.76
1,167.41,0.83,-0.84
1,180.93,0.99,-0.95
1,194.52,1.13,-1.04
1,208.66,1.27,-1.13
1,223.12,1.39,-1.27
1,238.64,1.54,-1.37
1,254.70,1.80,-1.50
1,0.00,0.03,-0.00
1,0.25,0.02,-0.00
1,0.98,0.03,-0.00
1,2.20,0.02,-0.00
1,3.90,0.02,-0.00
1,6.10,0.01,-0.01
1,8.77,0.01,-0.01
1,11.92,0.00,-0.01
1,15.55,-0.00,-0.02
1,19.71,-0.01,-0.02
1,24.28,-0.02,-0.03
1,29.35,-0.02,-0.04
1,34.98,-0.03,-0.04
1,41.09,-0.03,-0.05
1,47.58,-0.03,-0.05
1,54.70,-0.01,-0.05
1,62.29,-0.02,-0.05
1,70.36,-0.00,-0.05
1,78.90,0.06,-0.04
1,87.81,0.10,-0.04
1,97.78,0.14,-0.03
1,107.49,0.22,-0.01
1,118.03,0.32,0.01
1,129.20,0.40,0.02
1,140.23,0.53,0.03
1,152.59,0.71,0.08
1,164.52,0.80,0.10
1,177.95,1.06,0.11
1,191.43,1.30,0.13
1,205.58,1.57,0.17
1,219.83,1.78,0.16
1,235.08,2.01,0.21
1,250.96,2.36,0.21
1,0.01,0.16,-0.00
1,0.26,0.15,-0.00
1,1.04,0.16,-0.00
1,2.33,0.16,-0.00
1,4.13,0.16,-0.00
1,6.45,0.16,-0.00
1,9.27,0.17,-0.01
1,12.62,0.17,-0.01
1,16.44,0.19,-0.01
1,20.86,0.19,-0.01
1,25.69,0.21,-0.01
1,31.07,0.22,-0.01
1,37.03,0.25,-0.01
1,43.55,0.28,-0.01
1,50.48,0.32,-0.01
1,58.09,0.39,-0.00
1,66.17,0.42,0.00
1,74.75,0.46,0.01
1,83.90,0.55,0.02
1,93.47,0.62,0.03
1,103.90,0.68,0.04
1,114.38,0.76,0.07
1,125.71,0.81,0.09
1,137.60,0.85,0.11
1,149.59,0.90,0.13
1,162.67,0.95,0.20
1,175.60,0.96,0.23
1,189.89,0.96,0.27
1,204.44,1.05,0.31
1,219.30,1.06,0.36
1,234.78,1.02,0.38
1,251.22,1.12,0.45
1,268.08,1.14,0.48
1,-0.05,-0.05,0.00
1,0.05,-0.05,0.00
1,0.35,-0.05,0.00
1,0.85,-0.06,0.00
1,1.57,-0.05,0.00
1,2.46,-0.05,0.00
1,3.57,-0.05,0.00
1,4.83,-0.06,-0.00
1,6.31,-0.06,0.00
1,8.05,-0.06,-0.00
1,9.95,-0.07,-0.00
1,12.15,-0.08,-0.00
1,14.43,-0.08,-0.00
1,16.99,-0.09,-0.00
1,19.80,-0.11,-0.00
1,22.43,-0.11,-0.00
1,25.89,-0.13,0.00
1,29.06,-0.13,0.01
1,33.20,-0.13,0.01
1,36.78,-0.16,0.02
1,40.89,-0.16,0.03
1,45.35,-0.17,0.03
1,49.57,-0.16,0.05
1,54.96,-0.19,0.06
1,59.84,-0.18,0.07
1,64.00,-0.23,0.09
1,69.68,-0.27,0.10
1,75.58,-0.24,0.14
1,81.42,-0.29,0.15
1,87.11,-0.39,0.18
1,92.71,-0.45,0.22
1,98.53,-0.42,0.23
1,106.14,-0.37,0.24
1,-0.33,-0.03,0.00
1,-0.33,-0.03,0.00
1,-0.31,-0.03,0.00
1,-0.28,-0.03,0.00
1,-0.26,-0.03,0.00
1,-0.25,-0.03,-0.00
1,-0.23,-0.03,-0.00
1,-0.18,-0.03,-0.00
1,-0.11,-0.03,-0.00
1,-0.05,-0.03,-0.00
1,0.03,-0.03,-0.00
1,0.11,-0.03,-0.01
1,0.23,-0.03,-0.01
1,0.34,-0.03,-0.01
1,0.45,-0.03,-0.01
1,0.50,-0.03,-0.01
